UImage,LImage,AF_rep,AM_rep,CF_rep,CM_rep,Upper_Image,Lower_Image,TrailType,TrialType,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,BlockTrail.thisRepN,BlockTrail.thisTrialN,BlockTrail.thisN,BlockTrail.thisIndex,AF_Loop.thisRepN,AF_Loop.thisTrialN,AF_Loop.thisN,AF_Loop.thisIndex,AM_Loop.thisRepN,AM_Loop.thisTrialN,AM_Loop.thisN,AM_Loop.thisIndex,CF_Loop.thisRepN,CF_Loop.thisTrialN,CF_Loop.thisN,CF_Loop.thisIndex,CM_Loop.thisRepN,CM_Loop.thisTrialN,CM_Loop.thisN,CM_Loop.thisIndex,AFcondition_file,AMcondition_file,CFcondition_file,CMcondition_file,InstrText.started,InstrText.stopped,InstrKey.keys,InstrKey.rt,InstrKey.started,InstrKey.stopped,Fixation0.started,Fixation0.stopped,Upper_image.started,Upper_image.stopped,Lower_image.started,Lower_image.stopped,PracMouse.x,PracMouse.y,PracMouse.leftButton,PracMouse.midButton,PracMouse.rightButton,PracMouse.clicked_name,PracMouse.clicked_pos,PracMouse.started,PracMouse.stopped,BlankTest.started,BlankTest.stopped,BreakText.started,BreakText.stopped,Prac_Key.keys,Prac_Key.rt,Prac_Key.started,Prac_Key.stopped,Fixation4.started,Fixation4.stopped,CM_image_1.started,CM_image_1.stopped,CM_image_2.started,CM_image_2.stopped,CMMouse.x,CMMouse.y,CMMouse.leftButton,CMMouse.midButton,CMMouse.rightButton,CMMouse.clicked_name,CMMouse.clicked_pos,CMMouse.started,CMMouse.stopped,Fixation2.started,Fixation2.stopped,AM_image_1.started,AM_image_1.stopped,AM_imgae_2.started,AM_imgae_2.stopped,AMMouse.x,AMMouse.y,AMMouse.leftButton,AMMouse.midButton,AMMouse.rightButton,AMMouse.started,AMMouse.stopped,Fixation.started,Fixation.stopped,AF_image_1.started,AF_image_1.stopped,AF_image_2.started,AF_image_2.stopped,AFMouse.x,AFMouse.y,AFMouse.leftButton,AFMouse.midButton,AFMouse.rightButton,AFMouse.clicked_name,AFMouse.clicked_pos,AFMouse.started,AFMouse.stopped,Fixation3.started,Fixation3.stopped,CF_image_1.started,CF_image_1.stopped,CF_image_2.started,CF_image_2.stopped,CFMouse.x,CFMouse.y,CFMouse.leftButton,CFMouse.midButton,CFMouse.rightButton,CFMouse.clicked_name,CFMouse.clicked_pos,CFMouse.started,CFMouse.stopped,text.started,text.stopped,participant,gender,age,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditionList/AF_list2.xlsx,conditionList/AM_list3.xlsx,conditionList/CF_list2.xlsx,conditionList/CM_list5.xlsx,19.922068639003555,None,space,2.4900854759907816,19.922068639003555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
materials/Asian/Male/L_A_M_02_270.png,materials/Asian/Male/S_A_M_02_250.png,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50360347199603,23.00397628900828,22.98720874400169,None,22.98720874400169,None,-0.011111111111111112,-0.16111111111111112,1,0,0,Lower_image,[ 0.   -0.16],0.5145138656662311,None,24.170483641006285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
materials/Caucasian/Male/S_C_M_07_250.png,materials/Caucasian/Male/S_C_M_07_250.png,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.671069614996668,25.170478510000976,25.170478510000976,28.170841765007935,25.170478510000976,28.170841765007935,0.0,0.0,0,0,0,,,0.511800342661445,3.5121578776597744,28.187271963004605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
materials/Caucasian/Female/S_C_F_05_250.png,materials/Caucasian/Female/L_C_F_05_270.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.68648667499656,29.18765658600023,29.18765658600023,None,29.18765658600023,None,-0.003472222222222222,0.16458333333333333,1,0,0,Upper_image,[0.   0.16],0.5133039946522331,None,30.937486256996635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
materials/Asian/Female/S_A_F_01_250.png,materials/Asian/Female/S_A_F_01_250.png,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.43854694699985,31.9378952600091,31.9378952600091,None,31.9378952600091,None,-0.006944444444444444,-0.16666666666666666,1,0,0,Lower_image,[ 0.   -0.16],0.5115263706684345,None,33.28775681499974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.78792607500509,None,space,1.3755075799999759,33.78792607500509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_03_250.png,materials/Caucasian/Male/S_C_M_03_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,36.57126141899789,None,,,,,,,35.219791149007506,35.72130237300007,35.70482019800693,None,35.70482019800693,None,-0.0006944444444444445,-0.18541666666666667,1,0,0,CM_image_2,[ 0.   -0.16],0.512221925004269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_04_250.png,materials/Caucasian/Male/S_C_M_04_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,38.17132771300385,None,,,,,,,37.07230550699751,37.58806226099841,37.57130007199885,None,37.57130007199885,None,0.004861111111111111,0.09930555555555555,1,0,0,CM_image_1,[0.   0.16],0.5122105696646031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_06_250.png,materials/Caucasian/Male/S_C_M_06_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,39.67131370700372,None,,,,,,,38.67244536500948,39.17144424300932,39.17144424300932,None,39.17144424300932,None,-0.0006944444444444445,-0.12430555555555556,1,0,0,CM_image_2,[ 0.   -0.16],0.5124039946531411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/L_C_M_10_270.png,materials/Caucasian/Male/S_C_M_10_250.png,DLU,,,,,,0,0,0,3,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,41.22136583500833,None,,,,,,,40.17054034800094,40.67176116000337,40.67176116000337,None,40.67176116000337,None,0.005555555555555556,0.11666666666666667,1,0,0,CM_image_1,[0.   0.16],0.5122429026669124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
