UImage,LImage,AF_rep,AM_rep,CF_rep,CM_rep,Upper_Image,Lower_Image,TrailType,TrialType,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,BlockTrail.thisRepN,BlockTrail.thisTrialN,BlockTrail.thisN,BlockTrail.thisIndex,AF_Loop.thisRepN,AF_Loop.thisTrialN,AF_Loop.thisN,AF_Loop.thisIndex,AM_Loop.thisRepN,AM_Loop.thisTrialN,AM_Loop.thisN,AM_Loop.thisIndex,CF_Loop.thisRepN,CF_Loop.thisTrialN,CF_Loop.thisN,CF_Loop.thisIndex,CM_Loop.thisRepN,CM_Loop.thisTrialN,CM_Loop.thisN,CM_Loop.thisIndex,AFcondition_file,AMcondition_file,CFcondition_file,CMcondition_file,InstrText.started,InstrText.stopped,InstrKey.keys,InstrKey.rt,InstrKey.started,InstrKey.stopped,Fixation0.started,Fixation0.stopped,Upper_image.started,Upper_image.stopped,Lower_image.started,Lower_image.stopped,PracMouse.x,PracMouse.y,PracMouse.leftButton,PracMouse.midButton,PracMouse.rightButton,PracMouse.clicked_name,PracMouse.clicked_pos,PracMouse.started,PracMouse.stopped,BlankTest.started,BlankTest.stopped,BreakText.started,BreakText.stopped,Prac_Key.keys,Prac_Key.rt,Prac_Key.started,Prac_Key.stopped,Fixation4.started,Fixation4.stopped,CM_image_1.started,CM_image_1.stopped,CM_image_2.started,CM_image_2.stopped,CMMouse.x,CMMouse.y,CMMouse.leftButton,CMMouse.midButton,CMMouse.rightButton,CMMouse.clicked_name,CMMouse.clicked_pos,CMMouse.started,CMMouse.stopped,Fixation2.started,Fixation2.stopped,AM_image_1.started,AM_image_1.stopped,AM_imgae_2.started,AM_imgae_2.stopped,AMMouse.x,AMMouse.y,AMMouse.leftButton,AMMouse.midButton,AMMouse.rightButton,AMMouse.started,AMMouse.stopped,participant,gender,age,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditionList/AF_list1.xlsx,conditionList/AM_list1.xlsx,conditionList/CF_list5.xlsx,conditionList/CM_list5.xlsx,21.316133544998593,None,space,4.309994707989972,21.316133544998593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
materials/Asian/Male/L_A_M_02_270.png,materials/Asian/Male/S_A_M_02_250.png,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.750127913997858,26.250201720991754,26.216939386999,None,26.216939386999,None,-0.003472222222222222,0.1361111111111111,1,0,0,Upper_image,[0.   0.16],0.5128037429967662,None,27.433781341998838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
materials/Caucasian/Female/S_C_F_05_250.png,materials/Caucasian/Female/L_C_F_05_270.png,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.934274953993736,28.43381135999516,28.43381135999516,None,28.43381135999516,None,-0.001388888888888889,0.10486111111111111,1,0,0,Upper_image,[0.   0.16],0.5124747796508018,None,29.48383022499911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
materials/Asian/Female/S_A_F_01_250.png,materials/Asian/Female/S_A_F_01_250.png,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98467469699972,30.500495468993904,30.483826529991347,None,30.483826529991347,None,0.009722222222222222,-0.11875,1,0,0,Lower_image,[ 0.   -0.16],0.5112043156696018,None,32.68326554399391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
materials/Caucasian/Male/S_C_M_07_250.png,materials/Caucasian/Male/S_C_M_07_250.png,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.18438839299779,33.68393756500154,33.68393756500154,None,33.68393756500154,None,0.01597222222222222,-0.16597222222222222,1,0,0,Lower_image,[ 0.   -0.16],0.5126194506738102,None,35.00083685400023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.500766502998886,None,space,1.5453814499924192,35.500766502998886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_01_250.png,materials/Caucasian/Male/S_C_M_01_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.28407342499122,None,,,,,,,37.09939284400025,37.60093366399815,37.58415386900015,None,37.58415386900015,None,0.0,0.11041666666666666,1,0,0,CM_image_1,[0.   0.16],0.511538096019649,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_03_250.png,materials/Caucasian/Male/S_C_M_03_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,42.45092806700268,None,,,,,,,40.78511286099092,41.2843014139944,41.2843014139944,None,41.2843014139944,None,0.01875,-0.20694444444444443,1,0,0,CM_image_2,[ 0.   -0.16],0.5116583756607724,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_08_250.png,materials/Caucasian/Male/L_C_M_08_270.png,DLD,,,,,,0,0,0,3,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,44.650979835001635,None,,,,,,,42.95173682499444,43.45093872299185,43.45093872299185,None,43.45093872299185,None,0.006944444444444444,0.15902777777777777,1,0,0,CM_image_1,[0.   0.16],0.5115435306652216,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_07_250.png,materials/Caucasian/Male/S_C_M_07_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,46.73420582199469,None,,,,,,,45.15160564299731,45.65099747199565,45.65099747199565,None,45.65099747199565,None,0.02361111111111111,-0.1527777777777778,1,0,0,CM_image_2,[ 0.   -0.16],0.5128283016674686,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
